How long have you been a member of CNCF?,How many employees does your company have?,"Please indicate your CNCF membership level: (if you’re not sure, please check the list to confirm)",Are you also part of CNCF's End User Community? (Visit here to confirm),What is your role in your organization?,,What CNCF marketing programs are valuable to your company? Check all that apply.,,,,,,,,,,,,,,How well does CNCF communicate the process to get involved in the activities and programs offered?,,Have you taken advantage of networking opportunities with other CNCF members?,,What improvements could be made to these marketing programs? Please check all that apply,,,,,"What kind of additional marketing programs would you find valuable, if any?",We are looking for information on the events and marketing activities our members engage in. Do you hold community events such as a roadshow or developer event? Are they in-person or virtual? What is your targeted audience? How many attendees do you get?,"Do you have an event that CNCF should sponsor and if so, why?",Are you part of other member programs? What parts of that program to most enjoy / find beneficial?,Do you attend the monthly Marketing Committee calls?,"If you have attended a Marketing Committee meeting, is the content presented useful, interesting, and informative?",What improvements could be made to the Marketing Committee meeting? Select all that apply.,,,,,,,"In the past 6 months, have you had a call with CNCF to discuss your membership benefits?",,"Have you submitted an information request to CNCF staff? If so, what communication method did you use? Check all that apply.",,,,,,"If you have submitted a request to CNCF staff, how helpful were the responses you received?",What have you found to be the most valuable part of your CNCF membership? Check all that apply.,,,,,,,,Has your CNCF membership experience met your expectations?,,Would you recommend CNCF membership to other companies?,,Is there any other feedback that you wish to share? What can CNCF do more of or less of? How can CNCF help you in the next six months?
Less than one year,1-49,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Very well,,No,,,,,I do not have any suggestions,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,,,,,,,,,,,,,,,,,,,,,,
4+ years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,,,,End user case studies,,,,,,Very well,,Yes,,,,,I do not have any suggestions,,,"We hold all of the following.  Monthly online meetups can generate about 600 attendees and 1200+ registrants.   In person events range from small workshops with 20-60 people, to larger seminars with 200 people.   Weekly, live online trainings are around 20-60 people.   ",Not yet. :),,Occassionally,Very,,,,,,I do not have any improvement suggestions,,Not sure,,,Email to an email alias,,Slack,,,Not so helpful,Marketing programs,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,Lead generation from partner programs,,,Somewhat meets expectations,"I think the two areas I've still never felt was well handled was transparency around how to participate in the planning of KubeCon, and how to participate in the CNCF Ambassadors program. I've talked to so many good people who haven't been selected for that program, and who are very frustrated at how/why they are allowed in or not allowed in.  It's not transparent, it's hard to get answers and it should be improved. ",Yes,"Fantastic organization, strong management, great charter, incredibly relevant open source projects. ",
4+ years,"5,000+",Platinum,No,Developer relations / community,,,,,,,,,,,,,,None,,Poorly,,Yes,,,,More support on aligning these programs to member goals,,,go virtual for conferences for the rest of 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,50-499,Silver,No,Developer relations / community,,,,,,CNCF Webinar Program,,,KubeWeekly,,PR/AR / Thought Leadership / Speaker Support,,,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Every month,Neutral,,Additional reporting on the performance of marketing programs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,"5,000+",Gold,Yes,Other (please specify),OSPO,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,Don't know,Internal events 50-100 both f2f and virtual,No,Todo group and how to do advocacy well,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,,,,,,Neutral,,Yes,Depends on internal culture and what they expect to get,
4+ years,50-499,Gold,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Neutral,,Yes,,,Better communication as to how to get involved,,,,,,,,Occassionally,Neutral,,,More information on how members can get involved in marketing programs,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,1-49,Silver,No,Other (please specify),CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,50-499,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Product / project management,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Very well,,No,,,Better communication as to how to get involved,,,,,,,,Occassionally,Very,,,,,Open discussion time,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,"1,000-2,999",End User Supporter,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Neutral,This is managed by our recruitment and employer branding teams,No,Not yet as we planned to attend KubeCon EU for the first time with our team,,Better communication as to how to get involved,,,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Not sure,Perhaps other people of my org,,,Email to specific CNCF person,,,,Very helpful,,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,,,,,,Somewhat meets expectations,,Yes,,
Less than one year,1-49,Silver,Yes,Product / project management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,,,Kubernetes blogs,CNCF blog program on cncf.io,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,Yes,,,,More support on aligning these programs to member goals,,,"lead generation activities, more member networking ","We run DevSecCon, both virtual and in person. In person gets around 350 attendees. Target audience developers, DevOps with security interest, focus. ","All.The.Talks, our online virtual fundraising conference. Because you are sponsoring and speaking at virtual events run by other members. It also benefits COVID-19. CNCF is extremely well-funded and could help support members in these difficult times. ",,Most months,Somewhat,,Additional reporting on the performance of marketing programs,,Marketing topics where members share best practices,,,,Yes,,,,Email to specific CNCF person,Slack,Text / phone call,,Very helpful,,,,Demonstrating thought leadership,,,,lead generation from KubeCon ,Somewhat meets expectations,,Yes,,
3 years,"5,000+",Platinum,No,Developer relations / community,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,End user case studies,,,,,,Very well,,Yes,,,,More support on aligning these programs to member goals,,,"Better awareness of what is going on with SIGs, core code.",,,,Every month,Somewhat,,,,Marketing topics where members share best practices,,,Less focus on events. ,Yes,,Member desk,Email to an email alias,Email to specific CNCF person,Slack,,,Extremely helpful,Marketing programs,,,,,,,,Somewhat meets expectations,,Yes,,
Less than one year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Neutral,,Yes,,,,,I do not have any suggestions,,,,,,Occassionally,Somewhat not,,,,,Open discussion time,,Too much time spent talking about programs that enrich CNCF,No,,,Email to an email alias,,,,,Somewhat helpful,Marketing programs,,,,,,,,Somewhat meets expectations,,No,,
3 years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,,KubeWeekly,,,,,,,Somewhat well,,No,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Occassionally,Neutral,Increased communication regarding how your company can strategically align with CNCF initiatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,50-499,Silver,No,Other (please specify),Executive ,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Somewhat poorly,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,Virtual conference ,150,Don't know ,No,Never,Not at all,,,More information on how members can get involved in marketing programs,,,,,Not sure,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Neutral,,Yes,,No
3 years,500-999,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,Yes,,,,,I do not have any suggestions,,,"Yes, Mirantis holds regional roadshows and customer events, meetups, Ask-The-Expert sessions, customer advisory board meetings, etc. Currently they are all virtual events, although most are more appropriate as in-person events. Targeted audience is technical decision makers at customer and key prospect accounts. Attendees are intentionally kept to a small number, roughly 20-30 people.",N/A,,Occassionally,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,,,,"Spend less time on the metrics and performance slides, more time on the programs and how members can get involved. Maybe reduce the slides in the deck that are presented during the meeting, and leave them in an appendix. We have the slides, we can refer to the data as needed.",No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,Networking with other companies in the space,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,Lead generation from partner programs,,,Somewhat meets expectations,,Yes,,
4+ years,1-49,Silver,No,Other (please specify),management,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Very well,,Yes,,,,,I do not have any suggestions,,I would like to hear from CNCF exec leadership (Dan and Chris) now and then in webinars for personal perspectives and their view of the space and the road ahead.,"We run paid training events with 10-25 folks and paid seminars with up to 200 folks [often in-person, sometimes hybrid, of late all virtual]. We host meetups (thus far always in person), we do free webinars and seminars (all ranging from 20 to 200 folks and all virtual).",Not presently but we are always upbeat about working with CNCF so will continue to consider possibilities.,"We are KCSP and KTPs, the training partner program is most important to us.",Every month,Very,,,,,,I do not have any improvement suggestions,,No,,,,,Slack,,,Very helpful,Marketing programs,Networking with other companies in the space,,Demonstrating thought leadership,,,,,Completely meets expectations,,Yes,,
1 year,50-499,Silver,No,Product / project management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,"5,000+",End User Supporter,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,Yes,,,,,I do not have any suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,,,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,Yes. Community day ~200 registration in last one ,,,Occassionally,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,,,Marketing topics where members share best practices,,,,Yes,,,Email to an email alias,,,,,Very helpful,,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
Less than one year,500-999,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,,Kubernetes blogs,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,not familiar with some of these programs,Somewhat poorly,,Yes,at events - not familiar with opportunities between events,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,"participation in online events - virtual summits, places where customers & members discuss and interact now that in-person events are limited","we hold virtual webinars from time to time, participation in dozens of attendees",not at this time,"virtual summits from other organizations; connections with customers and partners for webinars, learning, training, Q&A sessions",Never,I have not attended a marketing committee meeting,Increased communication regarding how your company can strategically align with CNCF initiatives,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,,,Yes,,,,Email to specific CNCF person,,,,Somewhat helpful,,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,"stronger support for virtual events - the loss of in-person events is huge, and the investment to interaction in the virtual world is best shared, rather than every company fending for themselves"
Less than one year,"5,000+",Silver,Yes,"Technical, engineering, developer",,,,,,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,"I dont see CNCF publishing best usage patterns for CNCF projections many which fit together as a puzzle that is a published white paper. When you first get into CNCF you get lost very quickly as there's just so much. Guiding docs on if your interested in surveillance go here, here's best practices our user community has put in place etc. I think that would be very helpful.",Somewhat poorly,"There's just too much, I wade thru so many docs, git repo's, and videos it's a full time job. This needs to be honed a bit leading new users in a series of questions to make it easier to get around.",I was not aware of networking opportunities with other CNCF members,First explain the avenues to network beyond joinging the tele conf's for each project and user group,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,We do company wide tech talks on CNCF products one at a time for our entire IT division at Verizon,None,a slew of telco industry standards bodies,Every month,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,,Open discussion time,,,No,,,,Email to specific CNCF person,,,,Not so helpful,,,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,Well for one responding to emails would be helpful. I've written twice with no answer.
3 years,"3,000-4,999",Silver,No,"Technical, engineering, developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 year,1-49,Silver,No,Sales and Marketing,,,,,,,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,No,,,,More support on aligning these programs to member goals,,,,,,,Never,Neutral,,Additional reporting on the performance of marketing programs,,,,,,No,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Neutral,,Yes,,
1 year,"5,000+",Silver,No,"Technical, engineering, developer",,,,,,,,,,,,,,None,,Poorly,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Not sure,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,,,,,,Neutral,,Yes,,
2 years,1-49,Silver,No,"Technical, engineering, developer",,,,,,,,,,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,,"Creating programs where companies can benefit from partner programs, Google, AWS, and Azure, have it. Some silver member is small companies trying to get off the ground, and this will help them land the first couple of clients.  Paying $5k+ for just be listed seems a little expensive.",Partner network program. Where CNCF helps matching end users or potential end-users with KCSP members.,"I run 300+ members meetup in Colombia, and I would like to bring a Kubernetes summit to Medellin in 2021.",I'm looking to do the first Kubernetes summit in Medellin Colombia in 2021. We started the movement in Colombia and we already have 300+ members it's time to give them more.,"KTP, KCSP and Certifications    ",Every month,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,,Marketing topics where members share best practices,Open discussion time,,,No,,,Email to an email alias,,,,,Very helpful,,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,"Again small companies like mine, because we don't have big impact in terms of resources and recognition acroos the board the only thing we are getting is listing.",Yes,"Definitely is valuable be part of CNCF, but I'll only recommend to bigger companies who might be able to get more exposure.",I know the LF has strict policy about leads but. It is possible to create programs that helps small companies with small pockets land some clients with CNCF help which at the will lead to become Gold and Platinum sponsors.
1 year,50-499,Silver,Yes,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,"5,000+",Gold,Yes,Product / project management,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,Kubernetes blogs,CNCF blog program on cncf.io,,,PR/AR / Thought Leadership / Speaker Support,,,,"We could be doing more, but limited marketing engagement that needs to be increased.  For a while it was challenging to get engagement on both sides.",Somewhat poorly,"This has been getting better.  A few years back involvement was minimal and recently there have been many more oppty.  There are still a lot of back end stuff that gets done that can b e frustrating, but not bad as some other communities.",I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,,,Would defer to marketing team...,,,,Occassionally,Somewhat,,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,,,,This has been getting better over time and still trending up.,No,"Not a call, but multiple emails.",Member desk,,,Slack,,,Extremely helpful,,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,Lead generation from partner programs,,,Somewhat does not meet expectations,,Yes,,
2 years,"5,000+",Gold,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,"5,000+",Platinum,Yes,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,Kubernetes blogs,CNCF blog program on cncf.io,,,,,,,,Very well,,Yes,,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,,Maybe some social media retweets/ likes/ comments/ any attention would be nice!,,,,OpenStack Foundation. Very nice and supportive community with nice helpful people. We got a lot of support when we were first in the business.,Occassionally,Somewhat,,,More information on how members can get involved in marketing programs,,,,,No,,,,Email to specific CNCF person,,,,Not so helpful,,,,Demonstrating thought leadership,,,,,Neutral,,Yes,,
2 years,1-49,Silver,No,Product / project management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,50-499,End User Supporter,Yes,"Technical, engineering, developer",,,,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,,,,,,Somewhat well,,No,,,Better communication as to how to get involved,,,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,Member desk,,Email to specific CNCF person,,,,Extremely helpful,,Networking with other companies in the space,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,,Yes,,
1 year,50-499,End User Supporter,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",,,Kubernetes blogs,,,End user case studies,,,,,,Very well,,Yes,,,,,I do not have any suggestions,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Not sure,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,,Yes,,
Less than one year,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,,"we organize local meetups and hackathons for Kubernetes, Python, Docker. Usual attendees are somewhere between 15-40",,,Every month,Somewhat,,,More information on how members can get involved in marketing programs,,Open discussion time,,,No,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,Marketing programs,,,,,,,,Somewhat meets expectations,,Yes,,
Less than one year,50-499,Silver,No,Sales and Marketing,,,,,,,Kubernetes blogs,CNCF blog program on cncf.io,,,,,,,,Neutral,,No,,,Better communication as to how to get involved,,,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,,,,,Lead generation from partner programs,,,Neutral,,Yes,,
Less than one year,"1,000-2,999",Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,1-49,Silver,Yes,Other (please specify),Management,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,Way too many events to programs to keep track of and deal with.,Somewhat poorly,"To many events and programs to keep track of and deal with. It feels like we just get done with one event, then there is another one.",Yes,,,,More support on aligning these programs to member goals,,Limit down the events and or programs and let us focus more on these core items others.,NONE!!!,"We run the Docker and Kube Meetup groups. It about be nice if we had more support on those areas, such as training, work shops or presentations for the community.",Just our meetup groups.,,Occassionally,Not at all,,,More information on how members can get involved in marketing programs,,,,,Yes,,,,Email to specific CNCF person,,,,Very helpful,,,,Demonstrating thought leadership,,Lead generation from partner programs,,,Somewhat does not meet expectations,,Yes,More like Maybe. Depending on their needs.,"Less events would be good now, given what is going on. When we do have this virus under control, focus on more fewer events that can drive real value. These events need to support the business requirements of the sponsors."
1 year,1-49,Silver,No,Other (please specify),Business operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+ years,500-999,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Very well,,No,,,,More support on aligning these programs to member goals,,"More inclusivity with KubeCon CFP - After 4 years and dozens of submissions, we only got 1 talk accepted",,,,,Occassionally,Very,,,,Marketing topics where members share best practices,,,,Not sure,,,Email to an email alias,Email to specific CNCF person,Slack,,,Very helpful,Marketing programs,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat does not meet expectations,,Yes,,
2 years,1-49,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,No,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,How to connect with our targeted personas better,We run Software Circus community meetups and conferences. The main target is engineers but also middle managers.,Software Circus Festival in September. A large community event all based around Cloud Native,N/A  ,Every month,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,Open discussion time,,,Yes,,,,Email to specific CNCF person,,,,Extremely helpful,,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,N/A
Less than one year,50-499,End User Supporter,Yes,"Technical, engineering, developer",,,,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,,,,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,,Yes,,
1 year,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Somewhat poorly,Single page marketing portal for partners would be very useful - with list of all activities and information on how to enroll. ,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,More PR related,More a roadshow and prefer in-person. We're targeting IT decision makers.,no,no,Occassionally,Neutral,,Additional reporting on the performance of marketing programs,More information on how members can get involved in marketing programs,,,,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,,,,,Lead generation from partner programs,,,Neutral,,Yes,,
2 years,50-499,End User Supporter,Yes,"Technical, engineering, developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Somewhat well,We don't know all the CNCF program in details - but we'd love to learn more about them (especially in this period),I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,More support on aligning these programs to member goals,,,A program that can connect better CNCF members to the CNCF audience.,"Yes, only virtual events. Our target is a technical audience made of devs and devops.",We'd love to have the support of CNCF for some of our virtual events.,No,Most months,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,Marketing programs,Networking with other companies in the space,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,,Lead generation from partner programs,,,Somewhat meets expectations,,Yes,,"With the cancellation of the in-persons events, marketing teams need to find other ways to connect with the developer audience. CNCF could play a significant role in helping his members to do so."
