My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
A vendor of cloud technology,Keptn,No,,Yes,"OpenFeature, Flux, Argo, OpenTelemetry",9,,N/A,,N/A,,7,,N/A,,8,,N/A,,"Zoom Account, password manager for sharing project secrets with other maintainers, CNCF Slack to have a central point to discuss with other projects' folks, and an open community to drive innovation.","I took part in the move from Sandbox to Incubating of Keptn. The process was relatively simple: I expected to encounter a much more bureaucratic process. The overall process took longer than expected, but it is also understandable, given the size of the CNCF landscape—timeline notifications and changes were communicated clearly",n/a,n/a,
A vendor of cloud technology,Harbor,No,,Yes,"Kubernetes, External Secrets Operator, Flux,",10,Velero,7,,8,,10,,7,,9,,N/A,,Project Updates on KubeCon and Project presence on KubeCon in general,not yet,unclear a bit,"Sponsoring for the project meetings e.g. swag, it's hard to find sponsors for KubeCon for example.",
A vendor of cloud technology,Argo,No,,Yes,"Backstage, OpenFeature",7,,8,,N/A,,3,,3,,N/A,,N/A,,I have not taken advantage of any project benefits,N/A,N/A,N/A,
A vendor of cloud technology,"Etcd, Kubernetes Metrics Server",No,,No,,1,Even with multiple escalations of projects CNCF didn't do anything to help the project. Within last year it only more toil to the maintainers.,1,"Didn't get any marketing, I haven't heard about any budget or scholarships. KubeCon was nice, but that's for CNCF member marketing and not for helping the project.",1,"It took weeks to get access to project mailing list that is managed by cncf. Apparently the maintainer is fighting is hard to reach as they are fighting on Ukraine war. That's nice, but have you heard of bus factor?",1,"I focus on project, please don't push more toil on maintainers by forcing them to learn/integrate. Just hire someone to promote and integrate those.",1,"No, they don't talk with graduated projects aparently.",2,"Used devstats, but didn't know about other ones as no-one is promoting them.",N/A,,"I haven't get any benefit from CNCF that didn't require heavy lifting on the project side. In projects starving for contributions, we cannot use any benefits as they cause even maintainers to be spread even more thin.","What is ""move levels""? Do you mean going from incubating to graduated? If so, then no.","Don't know. I don't agree that etcd project should have been ever graduated, but I don't know the criteria they used back then to graduate.","Technical Program Managers that would reduce toil and help organize work. Took on hosing community meetings, events, organize mentorship and maintain/reduce toil in the project.",Please promote work of contributors and maintainers instead of promoting highest bidders among cncf members. Motivate cncf members to contribute by allowing for membership cost being reimbursed by contributors. Currently buying membership it much much more efficient then contributing and you can claim other people work. Focus on reducing toil for project not increasing it.
A vendor of cloud technology,Notary Project,No,,Yes,"ORAS, OCI",10,,10,,10,,7,,6,,9,,10,,Help with the web site Mentorship program,We are not ready to apply to move levels,They look good to me. I would say graduated projects should have regular security reviews.,Not sure,From process point of view how to move forward if maintainers cannot reach agreement - governance templates.
A vendor of cloud technology,Cilium,No,,No,,8,,10,,8,,10,,9,,5,,3,,KubeCon,"No, there are a lot of undocumented things and it is unclear when you are ""done""",The question is unclear to me,ARM for testing,
A vendor of cloud technology,ORAS,No,,Yes,"K8s, Helm",9,,9,,N/A,,5,,5,,7,,5,,nothing,nothing,good,none,
A vendor of cloud technology,Flux,No,,Yes,"kubernetes, controller-runtime, kustomize, helm",10,,8,,9,,8,,10,,9,,8,,KubeCon Day zero project meeting and having a booth in the project pavilion,"It took us almost one year a half to go from incubation to graduation, it wasn't clear what we needed to do, so lots of delays because of this.","I think that the process to graduation should be more clear, the requirements where made along the way, but once we figured them out, it was a straightforward process to comply.","I wish we could apply for cloud credits more easily, it took us 6 months to get 500USD in GCP credits to run Flux e2e tests, and we still need AWS.",
A vendor of cloud technology,etcd,No,,Yes,Kubernetes,10,CNCF is a great place with amazing people fostering vibrant communities around open source projects!,10,,10,I usually open a couple of service tickets a year for the need of the project. I always get a quick respond and help. The same goes for email communication.,10,,8,,9,,N/A,,"An active involvement of CNCF staff for project health like security assessments, marketing to promote community efforts etc.","No recent experience, but I led work to move etcd to graduation. It's been 2+ years, but the experience was excellent and exceeded my expectations. Thanks to Chris Aniszczyk, Ihor and other staff members!",N/A,I am happy with current services.,
A vendor of cloud technology,KubeArmor (https://github.com/kubearmor/KubeArmor),Yes,,Yes,cilium,10,,10,,10,,10,,7,,9,,10,,"CNCF/infrastructure (Equinix servers), Zoom Pro, DevStats",We haven't applied since we believe we need more external users for the open source before we should apply.,"There are CNCF Projects (Incubation) that create another project that is unrelated to its primary offering and that project also gets incubation status. This, imo, is not correct. Every project should be judged on its own merit.",NA,
A vendor of cloud technology,Open Feature,Yes,,Yes,"Prometheus, Keptn",10,,10,,8,,9,,9,,9,,9,,Publicity,Yes,Good,N/A,
A vendor of cloud technology,CloudEvents Serverless WG,No,,Yes,"Knative, Kubernetes",9,I'm getting concerned about the TOC being a roadblock for projects,10,,10,,10,,9,,10,,1,,"Technical support ... e.g. domain names, mailing lists, etc...",Yes I've applied and no it did not... the TOC appears to now be designed to block projects from moving by adding unnecessary (and slow) processes.,The backlog of TOC requests is unacceptable.,None,"While I really like all of the infrastructure that the CNCF offers, I'm starting to wonder if the CNCF is becoming like the UN - an org whose purpose in life is to support itself. There are now so many processes, layers of bureaucracy and (worse) becoming a place where people make a career out of it. I'm not talking about the full time folks who are needed to keep things running, I'm talking about people who would normally be working on projects that are now full-time CNCF bureaucrats. I remember when OSS meant light-weight, face and free from excessive process."
An End User company (not involved in direct monetization of CNCF projects),LitmusChaos,No,,No,,10,,9,,8,,7,,6,,10,,7,,"Community reach, product quality",NA,NA,NA,
