What is your geographic location?,What is the size of your company/organization?,What is your job function? Please select all that apply.,,What industry does your company/organization belong to?,,Which of the following cloud or data center models does your company/organization use?,,"Which, if any, of the following projects do you use for observability?",,,,,,,,,,,,"What practical, technical, or cultural challenges have you experienced or do you foresee using these projects - please select all that apply:",,,,,,,,,"Observability is a broad field. How many different tools does your organization use for monitoring, gathering logging and tracing data, and for metrics?",,What is your greatest challenge in observability - select all that apply:,,,,,,,,,,"What, if any, concerns do you have about making greater use of cloud native observability projects or products? Please select all that apply from the following list:",,,,,,,,,,,,,How do you run your observability tools - select all that apply. (Providing tools as-a-service internally still counts as self-managed):,,,,,,,,"Which of the following matter most for observability in your daily operations - please rank each in order from 1 - 9, with 1 being most important:",,,,,,,,,,,"Rank the following in order of importance when selecting observability tools from 1 to 6, with 1 being the most important:",,,,,,,What are your top priorities or projects in observability for the next year - select all that apply:,,,,,,,,,,"The CNCF Technical Advisory Group (TAG) Observability provides a number of resources which include the Cloud Native Observability whitepaper and online sessions. What would you like the TAG to provide you with most to monitor, audit, and instrument your cloud native and legacy infrastructure?To get involved with TAG Observability, join the TAG meetings @ 1600 UTC, 1st and 3rd Tuesdays of each month; join the mailing List: cncf-tag-observability@lists.cncf.io; or chat on CNCF Slack #tag-observability.",,,,
Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),None of the above,Cortex,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,Chaos Mesh,Litmus,Other (please specify),Difficult to install,Lack of supporting documentation,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,Code bugs,Security vulnerabilities,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,Other (please specify),Response,More than 20 (please specify),None of the above,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,Complexity,Other (please specify),None - I don't have any concerns,Security,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,Other (please specify),None of the above,As-a-Service on public cloud,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,Other (please specify),Metrics,Logs,Traces,Profiles,Crash dumps,Events,Monitoring,Alerts,Diagnostics,Analytics,Other (please specify),Cost,Open source,Breadth and maturity of features,Complexity of deployment and use,Integration with existing tools/stack,Option to purchase commercial support,Other (please specify),None of the above,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,Other (please specify),I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,Other (please specify)
Europe,Less than 10,SRE / DevOps Engineer,,Financial Services,,Only Public Cloud,,,,OpenMetrics,Prometheus,,,Jaeger,OpenTelemetry,OpenTracing,,,,,Lack of supporting documentation,Too complex to understand or run,,,,,,,1-9,,,,,,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,,,,,,Integration,Ease of management,,Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,2,1,4,7,2,5,1,1,1,7,,1,3,2,2,1,5,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"More than 5,000",SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,,OpenTelemetry,,,,,,,,,,Security vulnerabilities,,,,10-15,,,Lack of resources,,Lack of understanding of the benefits,,,,,,,,,Hidden costs,Integration,,"Maturity of code, features, and project",,,,,,,,,,,,Self-managed on public cloud,,Self-managed on-prem,,9,8,7,7,5,7,9,9,6,8,,3,5,5,5,5,4,,,,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Asia,100-499,Software Architect,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,500-999,Back-end Developer,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,500-999,Software Architect,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Less than 10,Engineering Manager,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,100-499,Product/Project Management,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,100-499,Full-Stack Developer,,Software / Technology,,Only Private Cloud / On Premise,,,,,Prometheus,,,,,,,,,Difficult to install,Lack of supporting documentation,Too complex to understand or run,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,Lack of resources,,,,Engineers and teams using multiple tools,,,Complexity,,,,,,Ease of management,"Maturity of code, features, and project",,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,Lack of resources/expertise,,,,,,,,Self-managed on-prem,,1,1,9,9,9,5,1,1,3,3,,4,1,2,1,1,6,,,,,,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
North America,"1,000-4,999",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,Cortex,,Prometheus,,,,OpenTelemetry,,,,,,Lack of supporting documentation,Too complex to understand or run,,Code bugs,,,,,1-9,,,Lack of resources,Shortage of skills,,,,,,,,,,Hidden costs,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,Optimizing them,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,1,1,2,8,8,6,2,2,6,4,,5,4,4,2,2,6,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,Tools and projects that fill gaps in the observability space would be better,,
Europe,100-499,Engineering Manager,,Software / Technology,,Only Public Cloud,,,Cortex,,Prometheus,,,,,,,,,,,,,,,,,License Changes  to Fake Open Source ,1-9,,,,Shortage of skills,,,,,,,Time,,,,Integration,,,,,,,Optimizing them,Lack of resources/expertise,,,,,,Self-managed on public cloud,,,,1,1,9,9,1,9,1,1,9,9,,3,1,2,2,1,6,,,,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,50-99,Back-end Developer,,Consulting,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Other (please specify),Support,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,Jaeger,OpenTelemetry,,,,,,Lack of supporting documentation,Too complex to understand or run,,,Security vulnerabilities,,,,1-9,,,,,,,,,,Complexity,,,,,,,"Maturity of code, features, and project",,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,,,,Self-managed on public cloud,,Self-managed on-prem,,1,1,2,,4,3,1,1,4,4,,2,2,1,2,2,2,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,10-49,SRE / DevOps Engineer,,Telecommunications,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,10-49,Back-end Developer,,Education,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",Software Architect,,Consulting,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,10-49,Software Architect,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"1,000-4,999",Developer Relations,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Less than 10,DevOps Management,,Software / Technology,,Only Public Cloud,,,,,Prometheus,,,,OpenTelemetry,,,,,,Lack of supporting documentation,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,1-9,,,Lack of resources,,,,Engineers and teams using multiple tools,,,,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,2,1,4,5,6,2,3,2,6,6,,4,5,1,3,1,4,,,,,,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Asia,Less than 10,Software Architect,,Media / Analyst,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,500-999,SRE / DevOps Engineer,,Scientific or technical services,,Only Public Cloud,,,,OpenMetrics,Prometheus,,,,OpenTelemetry,,,,Elastic beats,,,,,,,,,"Breaking changes, maturity of components, interoperability ",10-15,,,,,Lack of understanding of the benefits,,Engineers and teams using multiple tools,,Lack of leadership from management,,Too many tools for the same,,,,Integration,Ease of management,"Maturity of code, features, and project",,,,,Optimizing them,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,6,7,5,1,2,3,8,9,4,2,,4,2,3,5,6,1,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,Link IT performance issues with business outcomes,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
North America,50-99,Other (please specify),Intrumentation Engineer,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,100-499,Back-end Developer,,Healthcare,,Only Public Cloud,,None of the above,,,,,,,,,,,,Difficult to install,Lack of supporting documentation,Too complex to understand or run,,,,,,pace of change too rapid,1-9,,,Lack of resources,Shortage of skills,,No strategy,,,,Complexity,,,,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,Lack of resources/expertise,,None of the above,,,,,,,,8,9,3,1,1,9,7,7,1,1,,4,2,5,6,6,6,,,,,Adopt tools to collect application and network telemetry data,,,,,,,I haven’t heard of the CNCF TAG Observability or its work,,Tools and projects that fill gaps in the observability space would be better,,
Asia,"1,000-4,999",Software Architect,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,Jaeger,,,,,,,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,Shortage of skills,,,,,,Complexity,,,,Hidden costs,Integration,,"Maturity of code, features, and project",,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,,,,,,,,,Self-managed in private cloud,,,1,2,3,3,2,2,2,2,4,,,2,2,2,2,2,2,,,,,,"Establish a centralized system to capture, analyze and monitor data",,,Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Consumer,,Only Public Cloud,,,,,Prometheus,,Fluentd,,OpenTelemetry,OpenTracing,,,,,,Too complex to understand or run,,,,,,,1-9,,,,,,,,,,Complexity,,,,,,,,Level of support and long-term future,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,1,4,1,3,6,2,1,1,1,1,,2,3,1,1,1,3,,,,,,,,,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
South and Central America,100-499,DevOps Management,,Financial Services,,Only Public Cloud,,,,,Prometheus,Thanos,,,,,,,Grafana Tempo,,Lack of supporting documentation,,,,,,,,1-9,,,Lack of resources,Shortage of skills,,,,Organization - presence of process and team silos,Lack of leadership from management,,,,,Hidden costs,,,"Maturity of code, features, and project",Level of support and long-term future,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,,,,Self-managed on public cloud,,,,8,9,7,1,2,6,5,4,3,,,5,6,3,4,2,1,,,,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,"1,000-4,999",Back-end Developer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,,,,,,,,,,,,,Security vulnerabilities,,,,1-9,,None of the above,,,,,,,,,,None - I don't have any concerns,,,,,,,,,,,,,,,,,Self-managed on public cloud,,Self-managed on-prem,,1,1,9,9,9,2,2,1,1,2,,2,1,1,2,6,6,,None of the above,,,,,,,,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,Less than 10,Software Architect,,Consulting,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",Software Architect,,Telecommunications,,Hybrid Cloud (i.e. both),,,,OpenMetrics,Prometheus,,Fluentd,Jaeger,OpenTelemetry,OpenTracing,,,VictoriaMetrics,,Lack of supporting documentation,,,,,,,,10-15,,,,,,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,Security,,Integration,,,,,,,,,,,,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,1,3,2,4,5,6,1,1,2,4,,1,1,2,2,3,4,,,Develop a strategy,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Africa,"More than 5,000",Other (please specify),Principal Engineer,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,,,,,,Difficult to install,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,,,Lack of leadership from management,,,,Security,,Integration,Ease of management,,,,,,,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,Self-managed on-prem,,9,9,9,5,5,9,9,9,9,9,,3,1,1,1,2,4,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,,
Asia,"More than 5,000",Software Architect,,Telecommunications,,Hybrid Cloud (i.e. both),,,,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,,,,,,,,,Security vulnerabilities,,,,1-9,,,,,Lack of understanding of the benefits,No strategy,,,,,,,Security,Hidden costs,,,,Level of support and long-term future,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,8,8,8,6,8,8,8,8,8,6,,6,6,5,6,5,5,,,Develop a strategy,,,,,,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",SRE / DevOps Engineer,,Manufacturing,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,100-499,SRE / DevOps Engineer,,Retail,,Only Public Cloud,,,Cortex,,Prometheus,,,Jaeger,,,,,,,,Too complex to understand or run,,,,,,,1-9,,,Lack of resources,,Lack of understanding of the benefits,,,,,Complexity,,,,Hidden costs,,,,,,,,Optimizing them,,,,,,,Self-managed on public cloud,,,,1,3,5,7,,6,1,1,2,3,,2,1,1,2,2,3,,,Develop a strategy,,,,,,Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,100-499,SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,Prometheus,Thanos,,,OpenTelemetry,,,,,,Lack of supporting documentation,,,,,,Concern open source projects could be abandoned or become inactive,Opentelemetry adoption by the developers is low,1-9,,,,,,No strategy,,,Lack of leadership from management,Complexity,,,,Hidden costs,,,"Maturity of code, features, and project",,,,,,Lack of resources/expertise,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,1,2,5,8,7,4,2,1,6,3,,3,2,2,2,2,2,,,Develop a strategy,,,"Establish a centralized system to capture, analyze and monitor data",,,,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,"More than 5,000",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,Jaeger,,,,,,,,Too complex to understand or run,,,,,,,10-15,,,Lack of resources,Shortage of skills,,No strategy,Engineers and teams using multiple tools,,Lack of leadership from management,Complexity,,,,,,Ease of management,,,,,Mapping and understanding dependencies and integrations,,,,,,,,Self-managed on public cloud,,,,1,3,4,5,5,5,2,3,5,5,,1,1,1,2,2,4,,,,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"More than 5,000",Other (please specify),Principal Engineer,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,500-999,SRE / DevOps Engineer,,Other (please specify),Travel,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Less than 10,SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,GCP Stackdriver,,,,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,Lack of resources,,,No strategy,,,,,,,,,,Ease of management,,Level of support and long-term future,,,,,Lack of resources/expertise,,,As-a-Service on public cloud,,,,,,,3,3,6,8,9,3,3,5,5,9,,3,1,3,2,2,5,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Europe,500-999,Engineering Manager,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,,,OpenTelemetry,,,,,,Lack of supporting documentation,,,,,,,,1-9,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,,,,"Maturity of code, features, and project",Level of support and long-term future,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,,,,As-a-Service on public cloud,,,,,Self-managed on-prem,,2,2,3,4,4,2,2,2,4,2,,2,3,,1,2,3,,,,,,,,,,,We are already doing all of the above. For next year we want to increase the usage of OpenTelemetry and Tracing,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"1,000-4,999",Software Architect,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,,,,,,Lack of supporting documentation,Too complex to understand or run,,,,,,,10-15,,,,,,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,,Complexity,,,,Hidden costs,,,,,,,Mapping and understanding dependencies and integrations,,Lack of resources/expertise,Operating thrm,,As-a-Service on public cloud,,,Self-managed on public cloud,,Self-managed on-prem,,8,6,7,5,3,7,7,8,3,3,,4,4,4,5,5,5,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Europe,"More than 5,000",Software Architect,,Software / Technology,,Hybrid Cloud (i.e. both),,,,OpenMetrics,Prometheus,,Fluentd,Jaeger,OpenTelemetry,OpenTracing,,,,,,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,Overlapping Features,16-20,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,,,,,Hidden costs,,,,Level of support and long-term future,,,Mapping and understanding dependencies and integrations,,,,,,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,6,3,2,5,5,3,1,2,2,6,,2,2,2,3,1,1,,,,,,"Establish a centralized system to capture, analyze and monitor data",,,Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,500-999,Software Architect,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,,,,,,,FileBeat,,,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,Support for Windows nodes,1-9,,,,Shortage of skills,,,,,,Complexity,Support for Windows nodes,None - I don't have any concerns,,,,,,,,,,,,,,,,,,Self-managed in private cloud,Self-managed on-prem,,7,8,3,2,2,6,7,9,5,3,,5,5,6,6,6,1,,,,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Africa,10-49,Back-end Developer,,Financial Services,,Only Public Cloud,,,,,Prometheus,,,,,,,,,,,,,,,Management discourages use of/doesn’t see value of open source,,,1-9,,,Lack of resources,Shortage of skills,,,,Organization - presence of process and team silos,,,,,,,Integration,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,Optimizing them,,,,,,,Self-managed on public cloud,,,,9,7,5,5,6,7,7,8,6,5,,1,3,2,2,3,5,,,Develop a strategy,Secure budget and resources,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,,Reference architectures and frameworks would be ideal,,,
Australia and Oceania,100-499,Back-end Developer,,Consulting,,Hybrid Cloud (i.e. both),,,,,Prometheus,Thanos,Fluentd,,,,,,Micrometer,,,Too complex to understand or run,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,,,Lack of understanding of the benefits,,,,,Complexity,,,,Hidden costs,,,,Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,,Lack of resources/expertise,,,,,As-a-Service on-prem,,,Self-managed on-prem,,8,9,8,5,7,7,9,9,6,6,,5,4,4,5,6,4,,,,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,,Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,100-499,SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,"More than 5,000",SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,Prometheus,,Fluentd,,,,,,,,,,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,Complexity,,,,,Integration,Ease of management,,,,,,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,2,1,9,9,9,9,2,1,3,9,,2,3,1,1,1,3,,,Develop a strategy,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
North America,"More than 5,000",Other (please specify),System Administrator ,Government,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
